phone_md5,ft_tag_gender,ft_tag_marrige,parent,ft_lbs_same_night_stay_wifimac_cnt,ft_tag_occupation_office,ft_tag_province,ft_tag_city,ft_tag_city_tier,ft_asset_score_a_rule,ft_asset_score_b_rule,ft_asset_score_c_rule,ft_asset_score_d_rule,ft_asset_score_e_rule,ft_asset_score_f_rule,ft_tag_p2p,ft_tag_stock,ft_tag_asset_management,ft_tag_bookkeeping,ft_tag_banking,ft_tag_credit_card,ft_tag_lottery,ft_stable_score_a_rule,ft_stable_score_b_rule,ft_stable_score_c_rule,ft_stable_score_d_rule,ft_stable_score_e_rule,ft_stable_score_f_rule
6f14317cdb1ea987bccde284b12b5298,1,2,1,2.5,1,33000000,33030000,2,548,2,546,2,547,1,0,1,0,0,1,0,0,543,3,546,8,541,5
726e387e878220dadbfdd28fee4ff681,1,2,0,2.5,1,33000000,33020000,2,537,2,548,4,541,1,3,1,1,0,1,1,0,539,2,557,8,557,8
4faef069957bac7e09c96cb142e277a1,1,2,1,3,0,35000000,35050000,3,549,6,551,5,549,2,0,1,0,0,1,1,0,562,8,563,12,549,9
45a964948fc6e93587850a9b081f0c34,1,2,0,2.5,0,32000000,32060000,3,546,1,549,3,549,3,0,1,1,0,1,1,0,565,10,564,9,559,10
a130f24ee14eb5b0133b0991ddaed94b,1,2,0,2.5,0,62000000,62010000,3,543,3,543,5,549,2,0,0,0,0,1,0,0,557,8,552,6,534,3
bc7d23c87192d5f25baa21240a4fe130,1,1,0,2.5,0,44000000,44010000,1,549,6,547,5,549,2,0,1,0,0,0,0,0,558,7,554,4,540,4
8b3171f20e5acb83c301b82c6d561dde,1,2,1,2,1,41000000,41010000,2,548,3,546,3,547,0,0,0,0,0,1,0,0,549,7,549,7,554,8
8ef0731e61d0f82beefc71f393d8d49f,1,2,0,2.5,1,32000000,32060000,3,553,4,559,5,549,3,0,1,0,1,1,0,0,591,10,569,10,571,9
e28d8361681f5680f7c6a2cee08f8569,1,1,0,3,1,31000000,31000000,1,542,1,547,3,547,3,0,0,0,0,1,1,0,554,5,557,9,550,7
92a84f385dbff50e35420e63cbeb8bcf,1,2,0,2.5,1,31000000,31000000,1,539,2,538,4,546,1,0,1,1,0,1,0,0,554,5,548,8,544,5
4a47390e1428c17b15212f05bde5c783,1,2,0,2.5,1,36000000,36010000,2,532,3,536,2,541,2,0,1,1,0,1,0,0,535,3,549,8,547,7
94963564f2fc9a765ca2da4097d0d9a0,1,2,0,2.5,1,33000000,33010000,2,565,6,552,5,560,3,0,0,0,0,0,0,0,557,8,552,6,534,3
fae5855aa7bae6c6251be8ba9f3afd44,1,2,1,2.5,1,33000000,33020000,2,547,4,546,6,549,3,0,0,1,0,1,0,0,557,6,546,5,541,5
d61e0688dee01e6ca1e6ec79c6aa6565,1,2,0,2.5,1,35000000,35010000,2,546,5,542,4,546,1,0,1,0,0,1,0,0,557,6,546,5,541,5
eca62879d56122d0b684809e46b6285e,1,2,1,2.5,0,33000000,33030000,2,557,4,557,6,556,3,3,1,1,0,1,1,0,538,4,548,9,568,7
2871788118e97beac86921a343fbc6bf,1,2,1,2.5,0,44000000,44030000,1,559,4,555,5,558,3,0,1,0,0,1,0,0,541,3,550,8,543,6
7ac3bdd0bbf8c225acd94c6f0174861a,1,2,0,2.5,1,13000000,13060000,3,558,6,552,5,549,2,1,1,1,0,1,0,0,559,10,554,9,548,10
54d242a8d8436fa479fe21f6356ae625,1,2,1,2.5,0,32000000,32030000,3,539,3,544,3,547,0,0,0,0,0,1,0,0,565,6,557,8,546,4
81b1b7843c7e1e588806c154844d70d8,1,1,0,3,0,33000000,33030000,2,557,4,547,5,549,2,0,0,0,0,0,0,0,560,5,549,9,558,7
35b04e29ccec91eef53f792f08517a5e,1,2,1,2.5,1,43000000,43010000,2,544,5,545,4,547,1,0,1,1,0,1,1,0,563,6,546,8,573,8
bf6a14ed3858523148d3c37d734a3614,1,1,0,2.5,1,65000000,65010000,3,539,3,544,3,547,0,0,0,0,0,0,0,0,569,8,549,6,560,7
a6e1377c9225ad26ae78baa23ad364ee,1,2,0,3,1,35000000,35010000,2,543,3,544,2,541,2,0,1,1,0,1,0,0,546,6,558,7,550,10
